Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
GYBS27KX,journalArticle,2021,"Hemel, Armijn; Kalleberg, Karl Trygve; Vermaas, Rob; Dolstra, Eelco",Finding Software License Violations Through Binary Code Clone Detection - A Retrospective,SIGSOFT Softw. Eng. Notes,,0163-5948,10.1145/3468744.3468752,https://doi.org/10.1145/3468744.3468752,"Ten years ago, we published the article Finding software license violations through binary code clone detection at the MSR 2011 conference. Our paper was motivated by the tendency of em- bedded hardware vendors to only release binary blobs of their rmware, often violating the licensing terms of open-source soft- ware present inside those blobs. The techniques presented in our paper were designed to accurately identify open-source code hid- den inside binary blobs. Here, we give our perspectives on the impact of our work, both industrially and academically, and re- visit the original problem statement to see what has happened in the eld of open-source compliance in the intervening decade.",2021-07,2022-10-16 23:12:58,2022-10-16 23:12:58,,24–25,,3.0,46.0,,,,,,,,,,,,,,,,,"Place: New York, NY, USA Publisher: Association for Computing Machinery",,,,code clone detection; binary analysis; repository mining; rmware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C87RHVXD,conferencePaper,2017,"Dang, Yingnong; Zhang, Dongmei; Ge, Song; Huang, Ray; Chu, Chengyun; Xie, Tao",Transferring Code-Clone Detection and Analysis to Practice,Proceedings of the 39th International Conference on Software Engineering: Software Engineering in Practice Track,978-1-5386-2717-4,,10.1109/ICSE-SEIP.2017.6,https://doi.org/10.1109/ICSE-SEIP.2017.6,"During software development, code clones are commonly produced, in the form of a number of the same or similar code fragments spreading within one or many large code bases. Numerous research projects have been carried out on empirical studies or tool support for detecting or analyzing code clones. However, in practice, few such research projects have resulted in substantial industry adoption. In this paper, we report our experiences of transferring XIAO, a code-clone detection and analysis approach and its supporting tool, to broad industrial practices: (1) shipped in Visual Studio 2012, a widely used industrial IDE; (2) deployed and intensively used at the Microsoft Security Response Center. According to our experiences, technology transfer is a rather complicated journey that needs significant efforts from both the technical aspect and social aspect. From the technical aspect, significant efforts are needed to adapt a research prototype to a product-quality tool that addresses the needs of real scenarios, to be integrated into a mainstream product or development process. From the social aspect, there are strong needs to interact with practitioners to identify killer scenarios in industrial settings, figure out the gap between a research prototype and a tool fitting the needs of real scenarios, to understand the requirements of releasing with a mainstream product, being integrated into a development process, understanding their release cadence, etc.",2017,2022-10-16 23:12:58,2022-10-16 23:12:58,,53–62,,,,,,,ICSE-SEIP '17,,,,IEEE Press,,,,,,,,,"event-place: Buenos Aires, Argentina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9NGN7EB5,conferencePaper,2018,"Xue, Hongfa; Venkataramani, Guru; Lan, Tian",Clone-Hunter: Accelerated Bound Checks Elimination via Binary Code Clone Detection,Proceedings of the 2nd ACM SIGPLAN International Workshop on Machine Learning and Programming Languages,978-1-4503-5834-7,,10.1145/3211346.3211347,https://doi.org/10.1145/3211346.3211347,"Unsafe pointer usage and illegitimate memory accesses are prevalent bugs in software. To ensure memory safety, conditions for array bound checks are inserted into the code to detect out-of-bound memory accesses. Unfortunately, these bound checks contribute to high runtime overheads, and therefore, redundant array bound checks should be removed to improve application performance. In this paper, we propose Clone-Hunter, a practical and scalable framework for redundant bound check elimination in binary executables. Clone-Hunter first uses binary code clone detection, and then employs bound safety verification mechanism (using binary symbolic execution) to ensure sound removal of redundant bound checks. Our results show the Clone-Hunter can swiftly identify redundant bound checks about 90× faster than pure binary symbolic execution, while ensuring zero false positives.",2018,2022-10-16 23:12:58,2022-10-16 23:12:58,,11–19,,,,,,,MAPL 2018,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,"event-place: Philadelphia, PA, USA",,,,Array bound checks; Binary analysis; Machine learning; Memory safety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K2XVWTN7,journalArticle,2020,"Wang, Wenhan; Li, Ge; Shen, Sijie; Xia, Xin; Jin, Zhi",Modular Tree Network for Source Code Representation Learning,ACM Trans. Softw. Eng. Methodol.,,1049-331X,10.1145/3409331,https://doi.org/10.1145/3409331,"Learning representation for source code is a foundation of many program analysis tasks. In recent years, neural networks have already shown success in this area, but most existing models did not make full use of the unique structural information of programs. Although abstract syntax tree (AST)-based neural models can handle the tree structure in the source code, they cannot capture the richness of different types of substructure in programs. In this article, we propose a modular tree network that dynamically composes different neural network units into tree structures based on the input AST. Different from previous tree-structural neural network models, a modular tree network can capture the semantic differences between types of AST substructures. We evaluate our model on two tasks: program classification and code clone detection. Our model achieves the best performance compared with state-of-the-art approaches in both tasks, showing the advantage of leveraging more elaborate structure information of the source code.",2020-09,2022-10-16 23:12:58,2022-10-16 23:12:58,,,,4.0,29.0,,,,,,,,,,,,,,,,,"Place: New York, NY, USA Publisher: Association for Computing Machinery",,,,code clone detection; neural networks; Deep learning; program classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W9D7NNDH,conferencePaper,2019,"Zhang, Jian; Wang, Xu; Zhang, Hongyu; Sun, Hailong; Wang, Kaixuan; Liu, Xudong",A Novel Neural Source Code Representation Based on Abstract Syntax Tree,Proceedings of the 41st International Conference on Software Engineering,,,10.1109/ICSE.2019.00086,https://doi.org/10.1109/ICSE.2019.00086,"Exploiting machine learning techniques for analyzing programs has attracted much attention. One key problem is how to represent code fragments well for follow-up analysis. Traditional information retrieval based methods often treat programs as natural language texts, which could miss important semantic information of source code. Recently, state-of-the-art studies demonstrate that abstract syntax tree (AST) based neural models can better represent source code. However, the sizes of ASTs are usually large and the existing models are prone to the long-term dependency problem. In this paper, we propose a novel AST-based Neural Network (ASTNN) for source code representation. Unlike existing models that work on entire ASTs, ASTNN splits each large AST into a sequence of small statement trees, and encodes the statement trees to vectors by capturing the lexical and syntactical knowledge of statements. Based on the sequence of statement vectors, a bidirectional RNN model is used to leverage the naturalness of statements and finally produce the vector representation of a code fragment. We have applied our neural network based source code representation method to two common program comprehension tasks: source code classification and code clone detection. Experimental results on the two tasks indicate that our model is superior to state-of-the-art approaches.",2019,2022-10-16 23:12:58,2022-10-16 23:12:58,,783–794,,,,,,,ICSE '19,,,,IEEE Press,,,,,,,,,"event-place: Montreal, Quebec, Canada",,,,code clone detection; abstract syntax tree; code classification; neural network; source code representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E6J2YFYA,conferencePaper,2020,"Rost, Wolf",Mining of DSLs and Generator Templates from Reference Applications,Proceedings of the 23rd ACM/IEEE International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings,978-1-4503-8135-2,,10.1145/3417990.3419492,https://doi.org/10.1145/3417990.3419492,"Domain-Specific Languages (DSLs) found application in different domains. The development of Model-Driven Development (MDD) components is facilitated by a wealth of frameworks like EMF, Xtext, and Xtend. However, the development of the necessary IDE components still can take up to several weeks or even months until it can be used in a production environment. The first step during the development of such an MDD infrastructure is to analyse a set of reference applications to deduce the DSL used by the domain experts and the templates used in the generator. The analysis requires technical expertise and is usually performed by MDD infrastructure developers, who have to adhere to a close communication with domain experts and are exposed to high cognitive load and time-consuming tasks.The objective of this PhD project is to reduce the initial effort during the creation of new MDD infrastructure facilities for either a new domain or newly discovered platforms within a known domain. This should be made possible by the (semi-)automatic analysis of multiple codebases using Code Clone Detection (CCD) tools in a defined process flow. Code clones represent schematically redundant and generic code fragments which were found in the provided codebase. In the process, the key steps include (i) choosing appropriate reference applications (ii) distinguishing the codebase by clustering the files, (iii) reviewing the quality of the clusters, (iv) analysing the cluster by tailored CCD, and (v) transforming of the code clones, depending on the code clone type, to extract a DSL and the corresponding generator templates.",2020,2022-10-16 23:12:58,2022-10-16 23:12:58,,,,,,,,,MODELS '20,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,"event-place: Virtual Event, Canada",,,,code clone detection; clustering and classification; information extraction; MDD component creation; model-driven software engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBWCAAT2,conferencePaper,2020,"Wu, Xiongfei; Qin, Liangyu; Yu, Bing; Xie, Xiaofei; Ma, Lei; Xue, Yinxing; Liu, Yang; Zhao, Jianjun",How Are Deep Learning Models Similar? An Empirical Study on Clone Analysis of Deep Learning Software,Proceedings of the 28th International Conference on Program Comprehension,978-1-4503-7958-8,,10.1145/3387904.3389254,https://doi.org/10.1145/3387904.3389254,"Deep learning (DL) has been successfully applied to many cutting-edge applications, e.g., image processing, speech recognition, and natural language processing. As more and more DL software is made open-sourced, publicly available, and organized in model repositories and stores (Model Zoo, ModelDepot), there comes a need to understand the relationships of these DL models regarding their maintenance and evolution tasks. Although clone analysis has been extensively studied for traditional software, up to the present, clone analysis has not been investigated for DL software. Since DL software adopts the data-driven development paradigm, it is still not clear whether and to what extent the clone analysis techniques of traditional software could be adapted to DL software.In this paper, we initiate the first step on the clone analysis of DL software at three different levels, i.e., source code level, model structural level, and input/output (I/0)-semantic level, which would be a key in DL software management, maintenance and evolution. We intend to investigate the similarity between these DL models from clone analysis perspective. Several tools and metrics are selected to conduct clone analysis of DL software at three different levels. Our study on two popular datasets (i.e., MNIST and CIFAR-10) and eight DL models of five architectural families (i.e., LeNet, ResNet, DenseNet, AlexNet, and VGG) shows that: 1). the three levels of similarity analysis are generally adequate to find clones between DL models ranging from structural to semantic; 2). different measures for clone analysis used at each level yield similar results; 3) clone analysis of one single level may not render a complete picture of the similarity of DL models. Our findings open up several research opportunities worth further exploration towards better understanding and more effective clone analysis of DL software.",2020,2022-10-16 23:12:58,2022-10-16 23:12:58,,172–183,,,,,,,ICPC '20,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,"event-place: Seoul, Republic of Korea",,,,deep learning; Code clone detection; model similarity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEN9X5PX,conferencePaper,2017,"Krüger, Jacob; Nell, Louis; Fenske, Wolfram; Saake, Gunter; Leich, Thomas",Finding Lost Features in Cloned Systems,Proceedings of the 21st International Systems and Software Product Line Conference - Volume B,978-1-4503-5119-5,,10.1145/3109729.3109736,https://doi.org/10.1145/3109729.3109736,"Copying and adapting a system, also known as clone-and-own, is a common reuse approach that requires little initial effort. However, the drawbacks of clones are increasing maintenance costs as bug fixes and updates must be propagated. To reduce these costs, migrating cloned legacy systems towards a software product line promises to enable systematic reuse and customization. For both, managing and migrating cloned systems, it remains a challenge to identify and map features in the systems. In this paper, we i) propose a semi-automatic process to identify and map features between legacy systems, ii) suggest a corresponding visualization approach, and iii) assess our process on a case study. The results indicate that our process is suitable to identify features and present commonalities and variability in cloned systems. Our process can be used to enable traceability, prepare refactorings, and extract software product lines.",2017,2022-10-16 23:12:58,2022-10-16 23:12:58,,65–72,,,,,,,SPLC '17,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,"event-place: Sevilla, Spain",,,,code clone detection; reverse engineering; extractive approach; feature location; legacy system; Software product line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6HQAI9X5,conferencePaper,2017,"McAfee, Patrick; Mkaouer, Mohamed Wiem; Krutz, Daniel E.",CATE: Concolic Android Testing Using Java Pathfinder for Android Applications,Proceedings of the 4th International Conference on Mobile Software Engineering and Systems,978-1-5386-2669-6,,10.1109/MOBILESoft.2017.35,https://doi.org/10.1109/MOBILESoft.2017.35,"Like all software systems, Android applications are not immune to bugs, security vulnerabilities, and a wide range of other runtime errors. Concolic analysis, a hybrid software verification technique which performs symbolic execution along with a concrete execution path, has been used for a variety of purposes including software testing, code clone detection, and security-related activities. We created a new publicly available concolic analysis tool for analyzing Android applications: Concolic Android TEster (CATE). Building on Java Path Finder (JPF-SPF), this tool performs concolic analysis on a raw Android application file (or source code) and provides output in a useful and easy to understand format.",2017,2022-10-16 23:12:58,2022-10-16 23:12:58,,213–214,,,,,,,MOBILESoft '17,,,,IEEE Press,,,,,,,,,"event-place: Buenos Aires, Argentina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CK49M7NK,journalArticle,2022,"Lin, Zehao; Li, Guodun; Zhang, Jingfeng; Deng, Yue; Zeng, Xiangji; Zhang, Yin; Wan, Yao",XCode: Towards Cross-Language Code Representation with Large-Scale Pre-Training,ACM Trans. Softw. Eng. Methodol.,,1049-331X,10.1145/3506696,https://doi.org/10.1145/3506696,"Source code representation learning is the basis of applying artificial intelligence to many software engineering tasks such as code clone detection, algorithm classification, and code summarization. Recently, many works have tried to improve the performance of source code representation from various perspectives, e.g., introducing the structural information of programs into latent representation. However, when dealing with rapidly expanded unlabeled cross-language source code datasets from the Internet, there are still two issues. Firstly, deep learning models for many code-specific tasks still suffer from the lack of high-quality labels. Secondly, the structural differences among programming languages make it more difficult to process multiple languages in a single neural architecture.To address these issues, in this article, we propose a novel Cross-language Code representation with a large-scale pre-training (XCode) method. Concretely, we propose to use several abstract syntax trees and ELMo-enhanced variational autoencoders to obtain multiple pre-trained source code language models trained on about 1.5 million code snippets. To fully utilize the knowledge across programming languages, we further propose a Shared Encoder-Decoder (SED) architecture which uses the multi-teacher single-student method to transfer knowledge from the aforementioned pre-trained models to the distilled SED. The pre-trained models and SED will cooperate to better represent the source code. For evaluation, we examine our approach on three typical downstream cross-language tasks, i.e., source code translation, code clone detection, and code-to-code search, on a real-world dataset composed of programming exercises with multiple solutions. Experimental results demonstrate the effectiveness of our proposed approach on cross-language code representations. Meanwhile, our approach performs significantly better than several code representation baselines on different downstream tasks in terms of multiple automatic evaluation metrics.",2022-04,2022-10-16 23:12:58,2022-10-16 23:12:58,,,,3.0,31.0,,,,,,,,,,,,,,,,,"Place: New York, NY, USA Publisher: Association for Computing Machinery",,,,neural networks; code representation; Deep learning; cross-language; pre-training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
